,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_01",1416,100.000
"PreInt_EduHx,tvmovies",1416,100.000
"PreInt_EduHx,sports",1416,100.000
"PreInt_EduHx,shopping",1416,100.000
"PreInt_DevHx,skill_range_16",1416,100.000
"PreInt_EduHx,videocomputergames",1416,100.000
"PreInt_EduHx,religion",1416,100.000
"PreInt_DevHx,skill_range_02",1416,100.000
"PreInt_EduHx,reading",1416,100.000
"PreInt_DevHx,skill_range_10",1416,100.000
"PreInt_EduHx,listenmusic",1416,100.000
"PreInt_EduHx,instrument",1416,100.000
"PreInt_EduHx,imaginativeplay",1416,100.000
"PreInt_EduHx,homework",1416,100.000
"PreInt_EduHx,grades",1416,100.000
"ESWAN,Panic_A03",1416,100.000
"PreInt_DevHx,skill_range_07",1416,100.000
"PreInt_DevHx,skill_range_05",1416,100.000
"PreInt_DevHx,skill_range_04",1416,100.000
"PreInt_DevHx,skill_no_16",1416,100.000
"PreInt_DevHx,skill_no_15",1416,100.000
"PreInt_EduHx,clubsorganizations",1416,100.000
"PreInt_EduHx,computerinternet",1416,100.000
"PreInt_EduHx,crafts",1416,100.000
"PreInt_DevHx,skill_no_05",1416,100.000
"PreInt_EduHx,dancing",1416,100.000
"PreInt_DevHx,skill_range_03",1416,100.000
"ESWAN,Panic_A01",1416,100.000
"ESWAN,Panic_A02",1416,100.000
"PreInt_DevHx,skill_range_15",1416,100.000
"PreInt_DevHx,skill_range_08",1415,99.929
"PreInt_DevHx,skill_no_06",1415,99.929
"PreInt_DevHx,skill_no_07",1415,99.929
"PreInt_DevHx,skill_no_10",1415,99.929
"PreInt_DevHx,skill_range_11",1415,99.929
"PreInt_DevHx,skill_range_17",1415,99.929
"PreInt_DevHx,skill_range_14",1414,99.859
"PreInt_DevHx,skill_range_12",1414,99.859
"PreInt_DevHx,skill_range_13",1413,99.788
"PreInt_DevHx,skill_range_09",1413,99.788
"PreInt_DevHx,skill_no_03",1412,99.718
"PreInt_DevHx,skill_range_06",1412,99.718
"NIH_Scores,NIH7_Comp",1411,99.647
"PreInt_DevHx,skill_no_12",1411,99.647
"NIH_Scores,NIH7_Picture",1411,99.647
"PreInt_DevHx,skill_no_14",1410,99.576
"PreInt_DevHx,skill_no_11",1410,99.576
"PreInt_EduHx,friendsout",1407,99.364
"PreInt_EduHx,friendsathome",1404,99.153
"PreInt_DevHx,skill_age_01",1395,98.517
"PreInt_DevHx,skill_no_08",1388,98.023
"PreInt_DevHx,skill_age_11",1368,96.610
"PreInt_DevHx,skill_no_13",1367,96.540
"PreInt_DevHx,skill_age_02",1367,96.540
"PreInt_DevHx,skill_age_10",1366,96.469
"PreInt_DevHx,skill_age_08",1365,96.398
"PreInt_DevHx,skill_age_05",1360,96.045
"PreInt_DevHx,skill_age_09",1357,95.833
"PreInt_DevHx,skill_age_04",1352,95.480
"PreInt_DevHx,skill_age_03",1327,93.715
"PreInt_DevHx,apgar5",1316,92.938
"PreInt_DevHx,apgar1",1311,92.585
"PreInt_DevHx,skill_no_09",1307,92.302
"PreInt_DevHx,skill_age_07",1295,91.455
"PreInt_DevHx,menstruation_age",1265,89.336
"PreInt_DevHx,skill_age_16",1162,82.062
"SRS,SRS_46",997,70.410
"PreInt_EduHx,yrs_school",971,68.573
"PreInt_DevHx,menstruation",942,66.525
"PreInt_EduHx,number_schools",925,65.325
"PreInt_DevHx,skill_age_17",888,62.712
"CBCL,CBCL_113C",829,58.545
"PreInt_DevHx,skill_age_13",757,53.460
"CBCL,CBCL_113B",745,52.613
"PreInt_DevHx,skill_age_15",727,51.342
